layer,subset,condition,d_new,percentile,alpha,mean_ce,tool_call_rate,valid_tool_format_rate,math_correct_rate,mean_abs_base_acts,mean_abs_delta_acts,n_examples,n_tokens
20,tool,raw,128,0.5,nan,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
20,tool,no_delta,128,0.5,0.0,18.79575596816976,0.15,0.15,0.15,87.70421684219703,85.81223239453081,20,377
20,tool,alpha_0.00,128,0.5,0.0,18.79575596816976,0.15,0.15,0.15,87.70421684219703,85.81223239453081,20,377
20,tool,alpha_0.25,128,0.5,0.25,16.604774535809018,0.3,0.3,0.3,90.61995667901658,85.37309326482486,20,377
20,tool,alpha_0.50,128,0.5,0.5,13.435013262599469,0.3,0.3,0.3,90.30038853021316,85.22920705159505,20,377
20,tool,alpha_0.75,128,0.5,0.75,9.278514588859416,0.7,0.7,0.7,88.21454109382454,85.43776785456174,20,377
20,tool,alpha_1.00,128,0.5,1.0,4.404509283819628,0.7,0.7,0.7,90.77711160981943,85.41781385488228,20,377
20,copy,raw,128,0.5,nan,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
20,copy,no_delta,128,0.5,0.0,15.661111111111111,0.0,0.0,nan,83.17328568680645,87.05191402957864,20,540
20,copy,alpha_0.00,128,0.5,0.0,15.661111111111111,0.0,0.0,nan,83.17328568680645,87.05191402957864,20,540
20,copy,alpha_0.25,128,0.5,0.25,13.059259259259258,0.0,0.0,nan,83.59008149447506,87.11213242517759,20,540
20,copy,alpha_0.50,128,0.5,0.5,9.681481481481482,0.1,0.1,nan,83.6653887239221,86.67793724896157,20,540
20,copy,alpha_0.75,128,0.5,0.75,6.536111111111111,0.0,0.0,nan,83.96643637815006,86.897915857392,20,540
20,copy,alpha_1.00,128,0.5,1.0,1.896064814814815,0.0,0.0,nan,84.18344164010834,87.18448756291316,20,540
20,tool_ood,raw,128,0.5,nan,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
20,tool_ood,no_delta,128,0.5,0.0,18.61741424802111,0.15,0.15,0.1,83.57914491157939,84.83077062966561,20,379
20,tool_ood,alpha_0.00,128,0.5,0.0,18.61741424802111,0.15,0.15,0.1,83.57914491157939,84.83077062966561,20,379
20,tool_ood,alpha_0.25,128,0.5,0.25,16.29551451187335,0.25,0.25,0.25,85.23037965400947,84.8033889752321,20,379
20,tool_ood,alpha_0.50,128,0.5,0.5,12.899736147757256,0.2,0.2,0.15,85.0792814115923,84.97607159939383,20,379
20,tool_ood,alpha_0.75,128,0.5,0.75,8.411609498680738,0.95,0.4,0.4,85.9120997689132,84.96006087204725,20,379
20,tool_ood,alpha_1.00,128,0.5,1.0,2.9274406332453826,0.6,0.0,0.0,83.35589242370457,85.08965919597908,20,379
24,tool,raw,128,0.5,nan,4.879310344827586,1.0,1.0,1.0,nan,nan,20,377
24,tool,no_delta,128,0.5,0.0,9.586206896551724,0.45,0.45,0.45,479.5939155429296,253.98380403260927,20,377
24,tool,alpha_0.00,128,0.5,0.0,9.586206896551724,0.45,0.45,0.45,479.5939155429296,253.98380403260927,20,377
24,tool,alpha_0.25,128,0.5,0.25,8.429708222811671,0.5,0.5,0.5,480.27326436174025,253.98127264320303,20,377
24,tool,alpha_0.50,128,0.5,0.5,7.010610079575597,0.6,0.6,0.6,481.37997767154917,252.8755636535235,20,377
24,tool,alpha_0.75,128,0.5,0.75,6.359416445623342,0.9,0.9,0.9,485.26679863275695,248.5303945872481,20,377
24,tool,alpha_1.00,128,0.5,1.0,7.3063660477453585,1.0,1.0,1.0,485.2693947004138,247.66139815235866,20,377
24,copy,raw,128,0.5,nan,1.1604166666666667,0.0,0.0,nan,nan,nan,20,540
24,copy,no_delta,128,0.5,0.0,10.277777777777779,0.0,0.0,nan,459.6183733064834,264.5393758852188,20,540
24,copy,alpha_0.00,128,0.5,0.0,10.277777777777779,0.0,0.0,nan,459.6183733064834,264.5393758852188,20,540
24,copy,alpha_0.25,128,0.5,0.25,9.221296296296297,0.0,0.0,nan,459.8387532795945,264.55925727739725,20,540
24,copy,alpha_0.50,128,0.5,0.5,7.462037037037037,0.0,0.0,nan,459.94759465298705,264.65768905815895,20,540
24,copy,alpha_0.75,128,0.5,0.75,4.431481481481481,0.0,0.0,nan,460.45766720556486,265.3066066251921,20,540
24,copy,alpha_1.00,128,0.5,1.0,1.99375,0.0,0.0,nan,460.3795760024207,265.3758261056058,20,540
24,tool_ood,raw,128,0.5,nan,3.032981530343008,1.0,0.4,0.35,nan,nan,20,379
24,tool_ood,no_delta,128,0.5,0.0,8.870712401055409,0.65,0.15,0.05,458.31207881048897,252.15701206225435,20,379
24,tool_ood,alpha_0.00,128,0.5,0.0,8.870712401055409,0.65,0.15,0.05,458.31207881048897,252.15701206225435,20,379
24,tool_ood,alpha_0.25,128,0.5,0.25,7.525065963060686,0.7,0.15,0.05,459.2375463813313,253.19087064910698,20,379
24,tool_ood,alpha_0.50,128,0.5,0.5,5.741424802110818,0.8,0.25,0.15,458.87411911454717,251.60953676536292,20,379
24,tool_ood,alpha_0.75,128,0.5,0.75,4.3905013192612135,0.75,0.25,0.25,461.3092741928004,250.99202176597663,20,379
24,tool_ood,alpha_1.00,128,0.5,1.0,4.478891820580475,0.7,0.25,0.1,461.7220426419886,253.83376955404515,20,379
